age,gender,Gender Recoded,Race,Black,White,Other,time at activity:socialize,Students binge in College
21,female,Female,White,White or Other,White,White or Black,2,Never binge
18,female,Female,White,White or Other,White,White or Black,2,
21,male,Male,White,White or Other,White,White or Black,4,
22,female,Female,White,White or Other,White,White or Black,3,Binge 1+ x
19,female,Female,Asian,White or Other,Black or Other,Other,2,Never binge
22,female,Female,White,White or Other,White,White or Black,3,Never binge
21,female,Female,White,White or Other,White,White or Black,7,Never binge
26,female,Female,White,White or Other,White,White or Black,1,Never binge
22,female,Female,White,White or Other,White,White or Black,1,Never binge
20,female,Female,Black,Black,Black or Other,White or Black,2,Never binge
19,male,Male,Black,Black,Black or Other,White or Black,6,Never binge
19,female,Female,White,White or Other,White,White or Black,4,Binge 1+ x
20,male,Male,White,White or Other,White,White or Black,3,Binge 1+ x
20,female,Female,White,White or Other,White,White or Black,1,Never binge
21,male,Male,White,White or Other,White,White or Black,1,Binge 1+ x
26,female,Female,Black,Black,Black or Other,White or Black,0,Never binge
18,female,Female,White,White or Other,White,White or Black,7,Binge 1+ x
20,female,Female,,,,,1,Never binge
19,male,Male,Black,Black,Black or Other,White or Black,4,Binge 1+ x
20,female,Female,White,White or Other,White,White or Black,3,Binge 1+ x
20,female,Female,White,White or Other,White,White or Black,2,Never binge
21,female,Female,Black,Black,Black or Other,White or Black,2,Binge 1+ x
22,female,Female,Black,Black,Black or Other,White or Black,1,Never binge
20,female,Female,White,White or Other,White,White or Black,3,Never binge
24,female,Female,White,White or Other,White,White or Black,3,Never binge
18,female,Female,White,White or Other,White,White or Black,4,Binge 1+ x
22,male,Male,White,White or Other,White,White or Black,2,Binge 1+ x
26,female,Female,White,White or Other,White,White or Black,1,Never binge
20,female,Female,White,White or Other,White,White or Black,2,Binge 1+ x
20,female,Female,White,White or Other,White,White or Black,3,Never binge
20,female,Female,White,White or Other,White,White or Black,8,Binge 1+ x
26,male,Male,White,White or Other,White,White or Black,1,Never binge
20,female,Female,White,White or Other,White,White or Black,2,Binge 1+ x
20,female,Female,Other,White or Other,Black or Other,Other,0,Binge 1+ x
22,female,Female,White,White or Other,White,White or Black,2,Never binge
20,female,Female,White,White or Other,White,White or Black,2,Never binge
23,female,Female,White,White or Other,White,White or Black,2,Never binge
23,female,Female,White,White or Other,White,White or Black,2,Binge 1+ x
24,female,Female,White,White or Other,White,White or Black,4,Binge 1+ x
26,female,Female,White,White or Other,White,White or Black,1,Never binge
21,female,Female,Other,White or Other,Black or Other,Other,4,Binge 1+ x
20,male,Male,White,White or Other,White,White or Black,2,Binge 1+ x
18,female,Female,White,White or Other,White,White or Black,3,Binge 1+ x
20,male,Male,White,White or Other,White,White or Black,1,Never binge
19,male,Male,White,White or Other,White,White or Black,1,Never binge
18,male,Male,White,White or Other,White,White or Black,4,Never binge
20,female,Female,White,White or Other,White,White or Black,2,Never binge
21,female,Female,White,White or Other,White,White or Black,3,Binge 1+ x
22,male,Male,White,White or Other,White,White or Black,1,Never binge
19,female,Female,White,White or Other,White,White or Black,2,Binge 1+ x
23,male,Male,White,White or Other,White,White or Black,1,Binge 1+ x
19,female,Female,White,White or Other,White,White or Black,3,Binge 1+ x
19,female,Female,White,White or Other,White,White or Black,2,Never binge
19,female,Female,Black,Black,Black or Other,White or Black,7,Never binge
18,female,Female,White,White or Other,White,White or Black,5,Never binge
21,male,Male,White,White or Other,White,White or Black,2,Never binge
21,female,Female,White,White or Other,White,White or Black,1,Never binge
20,female,Female,White,White or Other,White,White or Black,8,Binge 1+ x
25,male,Male,Asian,White or Other,Black or Other,Other,3,Binge 1+ x
26,female,Female,Black,Black,Black or Other,White or Black,1,Never binge
24,male,Male,White,White or Other,White,White or Black,3,Never binge
21,female,Female,Black,Black,Black or Other,White or Black,2,Never binge
21,male,Male,White,White or Other,White,White or Black,3,Binge 1+ x
18,male,Male,White,White or Other,White,White or Black,5,Binge 1+ x
26,female,Female,White,White or Other,White,White or Black,0,Never binge
19,male,Male,Asian,White or Other,Black or Other,Other,2,Binge 1+ x
26,female,Female,White,White or Other,White,White or Black,0,Never binge
